name,team,avg,hr,r,rbi,sb,slg,obp,ops,so,singles,doubles,triples,ab,bb,cs,gdp,h,hbp,ibb,pitches,pa,sf,sh
Bryce Harper,Nationals,0.330,42,118,99,6,0.649,0.460,1.109,131,91,38,1,521,124,4,15,172,5,15,2682,654,4,0
Joey Votto,Reds,0.314,29,95,80,11,0.541,0.459,1.000,135,107,33,2,545,143,3,11,171,5,15,3021,695,2,0
Paul Goldschmidt,Diamondbacks,0.321,33,103,110,21,0.570,0.435,1.005,151,109,38,2,567,118,5,16,182,2,29,2917,695,7,0
Mike Trout,Angels,0.299,41,104,90,11,0.590,0.402,0.991,158,93,32,6,575,92,7,11,172,10,14,2980,682,5,0
Miguel Cabrera,Tigers,0.338,18,64,76,1,0.534,0.440,0.974,82,98,28,1,429,77,1,19,145,3,15,1985,511,2,0
Josh Donaldson,Blue Jays,0.297,41,122,123,6,0.568,0.371,0.939,133,100,41,2,620,73,0,16,184,6,0,2817,711,10,2
Nelson Cruz,Mariners,0.302,44,90,93,3,0.566,0.369,0.936,164,111,22,1,590,59,2,6,178,5,9,2632,655,1,0
Edwin Encarnacion,Blue Jays,0.277,39,94,111,3,0.557,0.372,0.929,98,76,31,0,528,77,2,14,146,9,5,2517,624,10,0
Chris Davis,Orioles,0.262,47,100,117,2,0.562,0.361,0.923,208,72,31,0,573,84,3,6,150,8,6,2786,670,5,0
Jose Bautista,Blue Jays,0.250,40,108,114,8,0.536,0.377,0.913,106,64,29,3,543,110,2,19,136,5,2,2741,666,8,0
Anthony Rizzo,Cubs,0.278,31,94,101,17,0.512,0.387,0.899,105,91,38,3,586,78,6,9,163,30,9,2751,701,7,0
Andrew McCutchen,Pirates,0.292,23,91,96,11,0.488,0.401,0.889,133,103,36,3,566,98,5,9,165,12,12,2780,685,9,0
David Peralta,Diamondbacks,0.312,17,61,78,9,0.522,0.371,0.893,107,91,26,10,462,44,4,7,144,4,2,1923,517,7,0
David Ortiz,Red Sox,0.273,37,73,108,0,0.553,0.360,0.913,95,70,37,0,528,77,1,16,144,0,16,2488,614,9,0
Matt Carpenter,Cardinals,0.272,28,101,84,4,0.505,0.365,0.871,151,81,44,3,574,81,3,5,156,6,5,2807,665,4,0
J.D. Martinez,Tigers,0.282,38,93,102,3,0.535,0.344,0.879,178,95,33,2,596,53,2,11,168,5,7,2605,657,3,0
Nolan Arenado,Rockies,0.287,42,97,130,2,0.575,0.323,0.898,110,88,43,4,616,34,5,17,177,4,13,2322,665,11,0
A.J. Pollock,Diamondbacks,0.315,20,111,76,39,0.498,0.367,0.865,89,127,39,6,609,53,7,19,192,2,0,2361,673,9,0
Kris Bryant,Cubs,0.275,26,87,99,13,0.488,0.369,0.858,199,92,31,5,559,77,4,7,154,9,0,2651,650,5,0
Manny Machado,Orioles,0.286,35,102,86,20,0.502,0.359,0.861,111,115,30,1,633,70,8,17,181,4,2,2789,713,4,2
Michael Brantley,Indians,0.310,15,68,84,15,0.480,0.379,0.859,51,104,45,0,529,60,1,14,164,2,8,2149,596,5,0
Yoenis Cespedes,- - -,0.291,35,101,105,7,0.542,0.328,0.870,141,101,42,6,633,33,5,14,184,5,5,2722,676,5,0
Ryan Braun,Brewers,0.285,25,87,84,24,0.498,0.356,0.854,115,89,27,3,506,54,4,20,144,4,4,2141,568,3,0
Shin-Soo Choo,Rangers,0.276,22,94,82,4,0.463,0.375,0.838,147,96,32,3,555,76,2,7,153,15,1,2606,653,5,2
Kendrys Morales,Royals,0.290,22,81,106,0,0.485,0.362,0.847,103,100,41,2,569,58,0,24,165,8,4,2442,639,4,0
Carlos Gonzalez,Rockies,0.271,40,87,97,2,0.540,0.325,0.864,133,83,25,2,554,46,0,11,150,1,6,2235,608,6,1
Buster Posey,Giants,0.318,19,74,95,2,0.470,0.379,0.849,52,130,28,0,557,56,0,17,177,3,10,2194,623,7,0
Jose Abreu,White Sox,0.290,30,88,101,0,0.502,0.347,0.850,140,111,34,3,613,39,0,16,178,15,11,2526,668,1,0
Alex Rodriguez,Yankees,0.250,33,83,86,4,0.486,0.356,0.842,145,75,22,1,523,84,0,17,131,6,5,2503,620,7,0
Prince Fielder,Rangers,0.305,23,78,98,0,0.463,0.378,0.841,88,136,28,0,613,64,0,21,187,11,14,2483,693,5,0
Lorenzo Cain,Royals,0.307,16,101,72,28,0.477,0.361,0.838,98,113,34,6,551,37,6,16,169,12,4,2299,604,4,0
Brandon Belt,Giants,0.280,18,73,68,9,0.478,0.356,0.834,147,82,33,5,492,56,3,3,138,4,2,2320,556,4,0
Lucas Duda,Mets,0.244,27,67,73,0,0.486,0.352,0.838,138,55,33,0,471,66,2,12,115,14,7,2266,554,3,0
Curtis Granderson,Mets,0.259,26,98,70,11,0.457,0.364,0.821,151,89,33,2,580,91,6,3,150,7,3,2981,682,4,0
Jason Kipnis,Indians,0.303,9,86,52,12,0.451,0.372,0.823,107,112,43,7,565,57,8,5,171,9,6,2540,641,6,4
Eric Hosmer,Royals,0.297,18,98,93,7,0.459,0.363,0.822,108,122,33,5,599,61,3,16,178,3,6,2557,667,3,1
Adrian Gonzalez,Dodgers,0.275,28,76,90,0,0.480,0.350,0.830,107,96,33,0,571,62,1,21,157,6,10,2485,643,3,0
Mike Moustakas,Royals,0.284,22,73,82,1,0.470,0.348,0.817,76,99,34,1,549,43,2,14,156,13,1,2435,614,5,4
Mookie Betts,Red Sox,0.291,18,92,77,21,0.479,0.341,0.820,82,106,42,8,597,46,6,2,174,2,1,2634,654,6,3
Adam Lind,Brewers,0.277,20,72,87,0,0.460,0.360,0.820,100,87,32,0,502,66,0,7,139,1,11,2254,572,3,0
Logan Forsythe,Rays,0.281,17,69,68,9,0.444,0.359,0.804,111,100,33,2,540,55,4,12,152,14,2,2540,615,6,0
